keyword,title,company,location,employment_type,industry,education,experience,salary,posting,expiration,url
노인,서울시니어스가양타워 그린하우스 요양보호사 모집(주간보호센터,서울시니어스타워(주),서울 &gt; 강서구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-02T15:02:12+0900,2025-09-01T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51456165&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,지족재가복지센터 방문사회복지사 모집,지족요양보호사교육원,대전 &gt; 유성구,"정규직,계약직 (정규직 전환가능),계약직,아르바이트",사회복지,학력무관,경력무관,면접후 결정,2025-08-02T09:01:35+0900,2025-08-08T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51455227&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 사회복지사 채용 (용인 기흥점),(주)케어링 주간보호센터 용인 기흥점,경기 &gt; 용인시 기흥구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 235만원,2025-08-01T17:27:09+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51451508&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,주간보호 운전원 모집합니다.,시니어재활요양센터,대구 &gt; 서구,계약직,사회복지,학력무관,경력무관,"시급 10,030원",2025-08-01T17:07:38+0900,2025-09-01T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51451283&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[역삼노인복지관] 조리사모집(평일8-17시만/ 중식1끼 100인분),역삼노인복지관,서울 &gt; 강남구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 253만원,2025-08-01T16:55:24+0900,2033-01-01T00:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51451110&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 조리원 채용 (광주 동구점),케어링케어(주),광주 &gt; 동구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 220만원,2025-08-01T16:50:56+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51451052&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,"행복한 요양원 퐁당당,요양보호사모집",(주)수원시니어,경기 &gt; 수원시 팔달구,"정규직,계약직,아르바이트",사회복지,학력무관,경력무관,월급 230만원,2025-08-01T16:28:40+0900,2025-08-15T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51450806&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,나비요양원 조리원 구인,나비메디컬센타,충북 &gt; 청주시 청원구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 240만원,2025-08-01T15:01:37+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51449735&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 방문요양 사회복지사 채용 (경기 부천점),케어링케어(주),경기 &gt; 부천시 소사구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 230만원,2025-08-01T13:48:31+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51448883&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,VL르웨스트시티(노인 주거 복지시설) 시설팀 직원 모집,(주)삼구아이앤씨,서울 &gt; 강서구,계약직,시설관리·경비·용역,학력무관,신입/경력,회사내규에 따름,2025-08-01T13:27:07+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51448684&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,우장산역)  요양보호사 모집 (3교대),천사노인요양원,서울 &gt; 강서구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 250만원,2025-08-01T12:18:09+0900,2025-08-17T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51448118&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,번동데이케어센터 야간요양보호사 채용공고,번동데이케어센터,서울 &gt; 강북구,"무기계약직,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-01T11:47:46+0900,2025-08-17T18:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51447813&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 사회복지사 채용 (전남 여수점),(주)케어링 주간보호센터 여수점,전남 &gt; 여수시,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 235만원,2025-08-01T11:00:00+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51447143&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,(경력무관) 3교대 요양보호사 채용,구로푸른요양원,서울 &gt; 구로구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,"연봉 2,778만원",2025-08-01T10:12:34+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51446366&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 요양보호사 채용 (부산 진구점),케어링커뮤니티케어 부산 진구점,부산 &gt; 부산진구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 225만원,2025-08-01T09:48:35+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51445964&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,비타 재활 주간보호센터 요양보호사 채용 공고,비타 재활 주간보호센터,경기 &gt; 의정부시,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 211만원,2025-08-01T09:46:19+0900,2025-08-15T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51445926&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,요양원 요양보호사 선생님을 모십니다.,보눔케어요양원,"서울 &gt; 강남구,서울 &gt; 강동구,서울 &gt; 광진구,서울 &gt; 송파구","무기계약직,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-08-01T09:39:29+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51445834&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,노치원에서 근무하실 요양보호사 모집합니다. 신입/경력,즐거운주간보호센터,울산 &gt; 남구,"계약직 (정규직 전환가능),기간제,계약직",사회복지,학력무관,경력무관,"시급 10,030원",2025-08-01T08:37:29+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51445102&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,아산 배방 요양원에서 간호조무사 선생님을 모십니다.,노블레스실버빌요양원,충남 &gt; 아산시,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력1년↑,월급 230만원,2025-08-01T08:03:46+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51444917&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,영중종합사회복지관 노인맞춤돌봄사업 생활지원사 채용,영중종합사회복지관,서울 &gt; 영등포구,계약직,사회복지,학력무관,경력무관,면접후 결정,2025-07-31T18:05:56+0900,2025-08-15T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51441626&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,광명5동 3등급 여자어르신 재가요양보호사 선생님 모십니다.,광남새마을금고복지재단,경기 &gt; 광명시,계약직,사회복지,학력무관,경력무관,"시급 12,700원",2025-07-31T15:42:47+0900,2025-08-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51440155&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,시니엘데이케어센터 사회복지사 채용 공고,시니엘데이케어센터,서울 &gt; 서초구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 224만원,2025-07-31T11:30:59+0900,2025-08-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51437770&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,시니엘데이케어센터 요양보호사 채용 공고,시니엘데이케어센터,서울 &gt; 서초구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 224만원,2025-07-31T11:27:01+0900,2025-08-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51437738&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,2025년 제10차 충청북도사회서비스원 직원채용,충청북도사회서비스원,충북 &gt; 청주시 흥덕구,"기간제,계약직",정부·공공기관·공기업,학력무관,경력무관,면접후 결정,2025-07-31T11:02:15+0900,2025-08-11T18:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51437468&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,재가요양보호사  (근무지: 부산 수영구),나방문간호센터,부산 &gt; 수영구,"무기계약직,계약직",사회복지,학력무관,경력무관,"시급 10,030원",2025-07-31T09:40:56+0900,2025-08-30T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51436269&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,울산정주간보호센터북구점 사회복지사 모집,울산정주간보호센터북구점,울산 &gt; 북구,"계약직 (정규직 전환가능),전임,계약직",사회복지,학력무관,경력무관,월급 210만원,2025-07-30T22:55:15+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51434564&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,청운주간보호센터와 함께 할 조리 보조 공개 채용,청운주간보호센터,대구 &gt; 수성구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,신입/경력,면접후 결정,2025-07-30T19:32:10+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51432712&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,효도로 노인전문요양원 요양보호사를 모집합니다,효도로 노인전문요양원,서울 &gt; 구로구,"정규직,계약직,아르바이트",사회복지,학력무관,경력무관,면접후 결정,2025-07-30T17:42:53+0900,2025-08-10T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51432180&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 사회복지사 채용 (창원 마산점),(주)케어링주간보호센터창원마산점,경남 &gt; 창원시,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 235만원,2025-07-30T16:15:12+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51431328&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 요양보호사 채용 (부산 사하점),(주)케어링주간보호센터부산사하점,부산 &gt; 사하구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 225만원,2025-07-30T15:25:44+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51430750&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
